Zone 2: Zone 2
Weight;FedEx First Overnight;FedEx Priority Overnight;FedEx Standard Overnight;FedEx 2Day A.M.;FedEx 2Day;FedEx Express Saver;Ground and Home Delivery
1;42.31;34.71;33.30;27.21;25.23;22.95;11.32
2;42.87;73.87;41.12;29.22;26.26;23.38;12.08
3;46.77;77.77;44.68;29.71;26.68;24.83;12.57
4;51.02;82.02;48.20;30.59;27.50;25.27;12.94
5;51.45;82.45;49.06;31.48;28.33;25.70;13.29
6;58.98;89.98;51.78;32.86;29.55;27.78;13.39
7;59.74;90.74;53.45;34.25;30.79;28.23;14.15
8;60.00;91.00;56.26;35.64;32.03;29.29;14.56
9;60.27;91.27;58.19;37.52;33.67;29.54;14.78
10;60.81;91.81;58.48;39.31;33.96;29.83;14.98
11;71.44;102.44;62.70;41.06;36.92;35.38;15.92
12;73.12;104.12;64.78;44.58;38.88;36.26;16.18
13;73.39;104.39;65.50;46.29;41.62;39.53;16.19
14;74.89;105.89;68.05;48.59;43.71;39.96;16.86
15;75.16;106.16;70.66;51.98;45.36;40.22;16.87
16;80.04;111.04;72.16;54.45;46.43;42.64;17.30
17;84.64;115.64;73.71;54.84;47.85;42.90;17.42
18;85.32;116.32;78.09;58.51;49.45;46.80;17.60
19;85.87;116.87;80.18;58.88;51.42;48.00;18.08
20;86.31;117.31;81.68;59.18;53.19;48.26;18.21
21;90.08;121.08;83.87;65.01;55.67;49.65;18.88
22;94.22;125.22;86.82;65.77;57.38;53.23;18.93
23;94.74;125.74;88.29;68.98;58.79;55.27;19.00
24;97.25;128.25;90.50;71.64;60.14;55.52;19.52
25;97.75;128.75;91.73;71.91;62.08;55.79;19.59
26;103.75;134.75;91.99;74.10;63.95;60.99;20.53
27;104.36;135.36;96.16;75.32;65.99;62.97;21.10
28;106.54;137.54;96.59;77.16;68.11;64.87;21.60
29;107.08;138.08;98.45;81.09;69.88;65.13;21.64
30;107.57;138.57;102.94;83.53;70.15;65.38;21.86
31;111.67;142.67;104.85;84.11;70.43;67.49;22.80
32;114.85;145.85;107.03;84.38;70.74;67.77;22.81
33;117.60;148.60;109.39;87.75;76.58;71.61;22.94
34;120.12;151.12;111.29;90.50;78.98;73.02;23.08
35;122.69;153.69;114.46;92.33;80.57;74.44;23.51
36;127.77;158.77;115.17;95.41;81.83;76.56;23.86
37;128.30;159.30;115.45;95.73;83.35;76.97;24.22
38;128.60;159.60;117.48;99.35;84.75;77.57;24.60
39;129.11;160.11;120.47;102.08;87.44;77.82;25.42
40;129.43;160.43;125.92;102.82;87.71;78.28;25.44
41;135.14;166.14;128.08;107.35;91.97;87.30;26.01
42;137.12;168.12;130.46;111.65;93.47;88.91;26.02
43;140.80;171.80;132.63;112.10;95.43;90.64;26.52
44;143.98;174.98;134.92;113.29;97.04;91.31;26.88
